나이,출장,참여프로젝트,근속연차,월급,이직회수,업무평가,주변평가,경력,전년도교육출장횟수,현회사근속년수,출장_등급,이직률,프로젝트참여율,교육출장참여율,현직근속비율,연봉/경력비율,연봉/프로젝트비율,경력-근속연차,근속연차차이,프로젝트밀도지수,평판×근속연차,연봉×평판점수,경력/나이비율,근속/나이비율,연봉/나이,입사나이
39,1~29회,3,2,2816100,3,보통,3,19,6,1,1,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.05263157894736842,148215.7894736842,938700.0,17,1,0.47368421052631576,6,8448300,0.48717948717948717,0.05128205128205128,72207.69230769231,20
24,1~29회,3,1,3095550,2,보통,1,6,2,2,1,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,515925.0,1031850.0,5,-1,0.8333333333333334,1,3095550,0.25,0.041666666666666664,128981.25,18
43,1~29회,4,1,3570750,1,보통,4,6,3,5,1,0.16666666666666666,0.6666666666666666,0.5,0.8333333333333334,595125.0,892687.5,5,-4,1.1666666666666667,4,14283000,0.13953488372093023,0.023255813953488372,83040.69767441861,37
50,1~29회,2,1,3622050,1,보통,3,3,2,3,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1207350.0,1811025.0,2,-2,1.3333333333333333,3,10866150,0.06,0.02,72441.0,47
35,1~29회,3,1,2718900,1,보통,1,2,3,2,1,0.5,1.5,1.5,1.0,1359450.0,906300.0,1,-1,3.0,1,2718900,0.05714285714285714,0.02857142857142857,77682.85714285714,33
36,1~29회,2,1,4615650,9,보통,4,6,3,1,1,1.5,0.3333333333333333,0.5,0.16666666666666666,769275.0,2307825.0,5,0,0.8333333333333334,4,18462600,0.16666666666666666,0.027777777777777776,128212.5,30
33,30회 이상,4,2,7257600,2,보통,1,10,3,5,2,0.2,0.4,0.3,0.5,725760.0,1814400.0,8,-3,0.7,2,7257600,0.30303030303030304,0.06060606060606061,219927.27272727274,23
35,1~29회,3,1,2633850,1,보통,3,1,3,1,1,1.0,3.0,3.0,1.0,2633850.0,877950.0,0,0,6.0,3,7901550,0.02857142857142857,0.02857142857142857,75252.85714285714,34
27,1~29회,3,1,3160350,1,보통,4,1,6,1,1,1.0,3.0,6.0,1.0,3160350.0,1053450.0,0,0,9.0,4,12641400,0.037037037037037035,0.037037037037037035,117050.0,26
26,1~29회,1,1,3095550,1,보통,3,1,2,1,1,1.0,1.0,2.0,1.0,3095550.0,3095550.0,0,0,3.0,3,9286650,0.038461538461538464,0.038461538461538464,119059.61538461539,25
27,30회 이상,3,3,11780100,1,보통,4,9,0,9,2,0.1111111111111111,0.3333333333333333,0.0,1.0,1308900.0,3926700.0,6,-6,0.3333333333333333,12,47120400,0.3333333333333333,0.1111111111111111,436300.0,18
30,30회 이상,3,2,5414850,1,좋다,4,12,2,12,2,0.08333333333333333,0.25,0.16666666666666666,1.0,451237.5,1804950.0,10,-10,0.4166666666666667,8,21659400,0.4,0.06666666666666667,180495.0,18
41,1~29회,3,5,26385750,1,보통,4,23,0,22,1,0.043478260869565216,0.13043478260869565,0.0,0.9565217391304348,1147206.5217391304,8795250.0,18,-17,0.13043478260869565,20,105543000,0.5609756097560976,0.12195121951219512,643554.8780487805,18
34,0회,3,2,6166800,0,좋다,3,10,2,9,0,0.0,0.3,0.2,0.9,616680.0,2055600.0,8,-7,0.5,6,18500400,0.29411764705882354,0.058823529411764705,181376.4705882353,24
37,1~29회,3,1,4079700,4,좋다,1,8,1,1,1,0.5,0.375,0.125,0.125,509962.5,1359900.0,7,0,0.5,1,4079700,0.21621621621621623,0.02702702702702703,110262.16216216216,29
46,30회 이상,3,2,7792200,4,좋다,3,14,4,9,2,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.6428571428571429,556585.7142857143,2597400.0,12,-7,0.5,6,23376600,0.30434782608695654,0.043478260869565216,169395.65217391305,32
35,1~29회,4,1,3063150,1,보통,4,1,2,1,1,1.0,4.0,2.0,1.0,3063150.0,765787.5,0,0,6.0,4,12252600,0.02857142857142857,0.02857142857142857,87518.57142857143,34
48,1~29회,2,3,7264350,9,보통,4,23,2,1,1,0.391304347826087,0.08695652173913043,0.08695652173913043,0.043478260869565216,315841.3043478261,3632175.0,20,2,0.17391304347826086,12,29057400,0.4791666666666667,0.0625,151340.625,25
28,1~29회,3,1,4645350,1,보통,3,2,3,2,1,0.5,1.5,1.5,1.0,2322675.0,1548450.0,1,-1,3.0,3,13936050,0.07142857142857142,0.03571428571428571,165905.35714285713,26
44,1~29회,3,2,7362900,5,좋다,3,9,2,4,1,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.4444444444444444,818100.0,2454300.0,7,-2,0.5555555555555556,6,22088700,0.20454545454545456,0.045454545454545456,167338.63636363635,35
35,0회,2,3,13343400,2,보통,3,10,3,4,0,0.2,0.2,0.3,0.4,1334340.0,6671700.0,7,-1,0.5,9,40030200,0.2857142857142857,0.08571428571428572,381240.0,25
26,1~29회,2,2,5611950,7,보통,3,5,2,2,1,1.4,0.4,0.4,0.4,1122390.0,2805975.0,3,0,0.8,6,16835850,0.19230769230769232,0.07692307692307693,215844.23076923078,21
33,30회 이상,3,3,18168300,1,보통,3,15,1,15,2,0.06666666666666667,0.2,0.06666666666666667,1.0,1211220.0,6056100.0,12,-12,0.26666666666666666,9,54504900,0.45454545454545453,0.09090909090909091,550554.5454545454,18
35,30회 이상,3,3,12243150,1,좋다,4,9,3,9,2,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,1360350.0,4081050.0,6,-6,0.6666666666666666,12,48972600,0.2571428571428571,0.08571428571428572,349804.28571428574,26
35,1~29회,3,1,5418900,3,보통,3,4,3,2,1,0.75,0.75,0.75,0.5,1354725.0,1806300.0,3,-1,1.5,3,16256700,0.11428571428571428,0.02857142857142857,154825.7142857143,31
31,1~29회,3,2,7985250,3,좋다,4,10,3,7,1,0.3,0.3,0.3,0.7,798525.0,2661750.0,8,-5,0.6,8,31941000,0.3225806451612903,0.06451612903225806,257588.70967741936,21
37,1~29회,2,2,8090550,1,보통,3,7,2,7,1,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.0,1155792.857142857,4045275.0,5,-5,0.5714285714285714,6,24271650,0.1891891891891892,0.05405405405405406,218663.51351351352,30
32,1~29회,3,2,8318700,1,좋다,2,9,3,9,1,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,924300.0,2772900.0,7,-7,0.6666666666666666,4,16637400,0.28125,0.0625,259959.375,23
38,30회 이상,3,2,3248100,1,보통,4,10,2,10,2,0.1,0.3,0.2,1.0,324810.0,1082700.0,8,-8,0.5,8,12992400,0.2631578947368421,0.05263157894736842,85476.31578947368,28
50,1~29회,2,5,25299000,5,보통,4,29,2,27,1,0.1724137931034483,0.06896551724137931,0.06896551724137931,0.9310344827586207,872379.3103448276,12649500.0,24,-22,0.13793103448275862,20,101196000,0.58,0.1,505980.0,21
59,1~29회,3,3,10309950,7,보통,4,28,3,21,1,0.25,0.10714285714285714,0.10714285714285714,0.75,368212.5,3436650.0,25,-18,0.21428571428571427,12,41239800,0.4745762711864407,0.05084745762711865,174744.91525423728,31
36,1~29회,3,3,13629600,1,보통,2,17,2,17,1,0.058823529411764705,0.17647058823529413,0.11764705882352941,1.0,801741.1764705882,4543200.0,14,-14,0.29411764705882354,6,27259200,0.4722222222222222,0.08333333333333333,378600.0,19
55,1~29회,3,4,19920600,2,보통,3,21,2,5,1,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.23809523809523808,948600.0,6640200.0,17,-1,0.23809523809523808,12,59761800,0.38181818181818183,0.07272727272727272,362192.7272727273,34
36,30회 이상,2,2,8773650,1,보통,3,6,3,6,2,0.16666666666666666,0.3333333333333333,0.5,1.0,1462275.0,4386825.0,4,-4,0.8333333333333334,6,26320950,0.16666666666666666,0.05555555555555555,243712.5,30
45,1~29회,3,3,13127400,2,보통,3,25,2,1,1,0.08,0.12,0.08,0.04,525096.0,4375800.0,22,2,0.2,9,39382200,0.5555555555555556,0.06666666666666667,291720.0,20
35,30회 이상,3,1,2961900,4,보통,4,5,2,3,2,0.8,0.6,0.4,0.6,592380.0,987300.0,4,-2,1.0,4,11847600,0.14285714285714285,0.02857142857142857,84625.71428571429,30
36,1~29회,2,1,4573800,0,보통,1,2,0,1,1,0.0,1.0,0.0,0.5,2286900.0,2286900.0,1,0,1.0,1,4573800,0.05555555555555555,0.027777777777777776,127050.0,34
59,30회 이상,2,2,7388550,7,보통,4,20,2,4,2,0.35,0.1,0.1,0.2,369427.5,3694275.0,18,-2,0.2,8,29554200,0.3389830508474576,0.03389830508474576,125229.66101694915,39
29,1~29회,3,1,3649050,0,좋다,4,6,3,5,1,0.0,0.5,0.5,0.8333333333333334,608175.0,1216350.0,5,-4,1.0,4,14596200,0.20689655172413793,0.034482758620689655,125829.31034482758,23
31,1~29회,3,1,3376350,1,보통,2,1,4,1,1,1.0,3.0,4.0,1.0,3376350.0,1125450.0,0,0,7.0,2,6752700,0.03225806451612903,0.03225806451612903,108914.51612903226,30
32,1~29회,3,2,8397000,1,보통,2,10,3,10,1,0.1,0.3,0.3,1.0,839700.0,2799000.0,8,-8,0.6,4,16794000,0.3125,0.0625,262406.25,22
36,1~29회,4,1,4101300,3,보통,2,5,3,1,1,0.6,0.8,0.6,0.2,820260.0,1025325.0,4,0,1.4,2,8202600,0.1388888888888889,0.027777777777777776,113925.0,31
31,1~29회,3,2,5972400,1,좋다,4,11,2,11,1,0.09090909090909091,0.2727272727272727,0.18181818181818182,1.0,542945.4545454546,1990800.0,9,-9,0.45454545454545453,8,23889600,0.3548387096774194,0.06451612903225806,192658.06451612903,20
35,1~29회,2,2,5821200,0,보통,2,16,2,15,1,0.0,0.125,0.125,0.9375,363825.0,2910600.0,14,-13,0.25,4,11642400,0.45714285714285713,0.05714285714285714,166320.0,19
45,1~29회,3,3,17880750,4,보통,2,17,3,0,1,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.0,1051808.8235294118,5960250.0,14,3,0.35294117647058826,6,35761500,0.37777777777777777,0.06666666666666667,397350.0,28
37,1~29회,3,3,18446400,4,보통,1,16,3,5,1,0.25,0.1875,0.1875,0.3125,1152900.0,6148800.0,13,-2,0.375,3,18446400,0.43243243243243246,0.08108108108108109,498551.35135135136,21
46,1~29회,3,2,6778350,8,좋다,4,16,2,4,1,0.5,0.1875,0.125,0.25,423646.875,2259450.0,14,-2,0.3125,8,27113400,0.34782608695652173,0.043478260869565216,147355.4347826087,30
30,1~29회,2,2,6920100,1,보통,3,10,1,10,1,0.1,0.2,0.1,1.0,692010.0,3460050.0,8,-8,0.3,6,20760300,0.3333333333333333,0.06666666666666667,230670.0,20
35,1~29회,2,1,3859650,1,보통,1,6,3,6,1,0.16666666666666666,0.3333333333333333,0.5,1.0,643275.0,1929825.0,5,-5,0.8333333333333334,1,3859650,0.17142857142857143,0.02857142857142857,110275.71428571429,29
55,1~29회,3,3,13822650,3,보통,4,24,4,1,1,0.125,0.125,0.16666666666666666,0.041666666666666664,575943.75,4607550.0,21,2,0.2916666666666667,12,55290600,0.43636363636363634,0.05454545454545454,251320.9090909091,31
38,0회,1,2,7194150,7,보통,4,17,3,13,0,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.7647058823529411,423185.29411764705,7194150.0,15,-11,0.23529411764705882,8,28776600,0.4473684210526316,0.05263157894736842,189319.73684210525,21
34,1~29회,3,2,5838750,1,보통,3,5,2,5,1,0.2,0.6,0.4,1.0,1167750.0,1946250.0,3,-3,1.0,6,17516250,0.14705882352941177,0.058823529411764705,171727.9411764706,29
56,1~29회,1,3,9801000,4,보통,1,37,3,6,1,0.10810810810810811,0.02702702702702703,0.08108108108108109,0.16216216216216217,264891.8918918919,9801000.0,34,-3,0.10810810810810811,3,9801000,0.6607142857142857,0.05357142857142857,175017.85714285713,19
23,1~29회,3,1,3134700,3,보통,3,3,3,0,1,1.0,1.0,1.0,0.0,1044900.0,1044900.0,2,1,2.0,3,9404100,0.13043478260869565,0.043478260869565216,136291.30434782608,20
51,1~29회,3,1,2801250,3,좋다,2,10,4,4,1,0.3,0.3,0.4,0.4,280125.0,933750.0,9,-3,0.7,2,5602500,0.19607843137254902,0.0196078431372549,54926.470588235294,41
30,1~29회,2,2,5605200,1,보통,1,11,3,11,1,0.09090909090909091,0.18181818181818182,0.2727272727272727,1.0,509563.63636363635,2802600.0,9,-9,0.45454545454545453,2,5605200,0.36666666666666664,0.06666666666666667,186840.0,19
46,1~29회,2,3,12985650,1,보통,4,9,3,9,1,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.0,1442850.0,6492825.0,6,-6,0.5555555555555556,12,51942600,0.1956521739130435,0.06521739130434782,282296.73913043475,37
40,30회 이상,2,4,18229050,1,좋다,4,22,3,22,2,0.045454545454545456,0.09090909090909091,0.13636363636363635,1.0,828593.1818181818,9114525.0,18,-18,0.22727272727272727,16,72916200,0.55,0.1,455726.25,18
51,1~29회,3,2,7345350,0,좋다,4,11,2,10,1,0.0,0.2727272727272727,0.18181818181818182,0.9090909090909091,667759.0909090909,2448450.0,9,-8,0.45454545454545453,8,29381400,0.21568627450980393,0.0392156862745098,144026.4705882353,40
30,1~29회,2,2,7032150,1,보통,2,11,4,11,1,0.09090909090909091,0.18181818181818182,0.36363636363636365,1.0,639286.3636363636,3516075.0,9,-9,0.5454545454545454,4,14064300,0.36666666666666664,0.06666666666666667,234405.0,19
46,30회 이상,2,3,14408550,2,보통,3,21,5,10,2,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.47619047619047616,686121.4285714285,7204275.0,18,-7,0.3333333333333333,9,43225650,0.45652173913043476,0.06521739130434782,313229.347826087,25
32,1~29회,3,2,6763500,1,보통,1,12,0,11,1,0.08333333333333333,0.25,0.0,0.9166666666666666,563625.0,2254500.0,10,-9,0.25,2,6763500,0.375,0.0625,211359.375,20
54,1~29회,3,3,18291150,9,보통,1,16,5,4,1,0.5625,0.1875,0.3125,0.25,1143196.875,6097050.0,13,-1,0.5,3,18291150,0.2962962962962963,0.05555555555555555,338725.0,38
24,1~29회,3,2,6748650,0,좋다,1,4,2,3,1,0.0,0.75,0.5,0.75,1687162.5,2249550.0,2,-1,1.25,2,6748650,0.16666666666666666,0.08333333333333333,281193.75,20
28,0회,3,2,5698350,1,보통,2,5,3,5,0,0.2,0.6,0.6,1.0,1139670.0,1899450.0,3,-3,1.2,4,11396700,0.17857142857142858,0.07142857142857142,203512.5,23
58,1~29회,3,4,18727200,0,보통,3,38,1,37,1,0.0,0.07894736842105263,0.02631578947368421,0.9736842105263158,492821.05263157893,6242400.0,34,-33,0.10526315789473684,12,56181600,0.6551724137931034,0.06896551724137931,322882.7586206897,20
44,0회,3,2,2756700,4,보통,3,17,3,3,0,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.17647058823529413,162158.82352941178,918900.0,15,-1,0.35294117647058826,6,8270100,0.38636363636363635,0.045454545454545456,62652.27272727273,27
37,1~29회,3,1,2798550,4,좋다,4,7,3,3,1,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,399792.85714285716,932850.0,6,-2,0.8571428571428571,4,11194200,0.1891891891891892,0.02702702702702703,75636.48648648648,30
32,1~29회,3,1,3990600,1,보통,4,1,2,1,1,1.0,3.0,2.0,1.0,3990600.0,1330200.0,0,0,5.0,4,15962400,0.03125,0.03125,124706.25,31
20,30회 이상,2,1,3950100,1,보통,2,1,5,1,2,1.0,2.0,5.0,1.0,3950100.0,1975050.0,0,0,7.0,2,7900200,0.05,0.05,197505.0,19
34,1~29회,3,2,6492150,1,보통,3,16,3,16,1,0.0625,0.1875,0.1875,1.0,405759.375,2164050.0,14,-14,0.375,6,19476450,0.47058823529411764,0.058823529411764705,190945.58823529413,18
37,0회,2,2,6970050,5,보통,4,17,2,1,0,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.058823529411764705,410002.9411764706,3485025.0,15,1,0.23529411764705882,8,27880200,0.4594594594594595,0.05405405405405406,188379.72972972973,20
59,0회,2,5,25439400,9,좋다,4,30,3,3,0,0.3,0.06666666666666667,0.1,0.1,847980.0,12719700.0,25,2,0.16666666666666666,20,101757600,0.5084745762711864,0.0847457627118644,431176.27118644066,29
50,30회 이상,3,5,24532200,3,보통,1,28,1,8,2,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.2857142857142857,876150.0,8177400.0,23,-3,0.14285714285714285,5,24532200,0.56,0.1,490644.0,22
25,1~29회,2,2,7754400,1,보통,4,6,1,6,1,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,1292400.0,3877200.0,4,-4,0.5,8,31017600,0.24,0.08,310176.0,19
25,1~29회,2,1,3900150,1,보통,3,2,2,2,1,0.5,1.0,1.0,1.0,1950075.0,1950075.0,1,-1,2.0,3,11700450,0.08,0.04,156006.0,23
22,1~29회,3,1,3875850,1,보통,3,1,5,0,1,1.0,3.0,5.0,0.0,3875850.0,1291950.0,0,1,8.0,3,11627550,0.045454545454545456,0.045454545454545456,176175.0,21
51,30회 이상,2,3,10103400,3,좋다,3,23,1,13,2,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.5652173913043478,439278.26086956525,5051700.0,20,-10,0.13043478260869565,9,30310200,0.45098039215686275,0.058823529411764705,198105.88235294117,28
34,30회 이상,1,2,8199900,1,좋다,4,9,3,9,2,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.0,911100.0,8199900.0,7,-7,0.4444444444444444,8,32799600,0.2647058823529412,0.058823529411764705,241173.5294117647,25
54,0회,4,4,23392800,2,보통,3,23,3,5,0,0.08695652173913043,0.17391304347826086,0.13043478260869565,0.21739130434782608,1017078.2608695652,5848200.0,19,-1,0.30434782608695654,12,70178400,0.42592592592592593,0.07407407407407407,433200.0,31
24,1~29회,3,1,3744900,0,보통,3,6,2,5,1,0.0,0.5,0.3333333333333333,0.8333333333333334,624150.0,1248300.0,5,-4,0.8333333333333334,3,11234700,0.25,0.041666666666666664,156037.5,18
34,1~29회,2,2,6081750,6,보통,3,12,3,1,1,0.5,0.16666666666666666,0.25,0.08333333333333333,506812.5,3040875.0,10,1,0.4166666666666667,6,18245250,0.35294117647058826,0.058823529411764705,178875.0,22
37,1~29회,3,3,10027800,2,보통,1,12,3,5,1,0.16666666666666666,0.25,0.25,0.4166666666666667,835650.0,3342600.0,9,-2,0.5,3,10027800,0.32432432432432434,0.08108108108108109,271021.6216216216,25
34,1~29회,2,3,15701850,2,보통,4,14,6,11,1,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7857142857142857,1121560.7142857143,7850925.0,11,-8,0.5714285714285714,12,62807400,0.4117647058823529,0.08823529411764706,461819.1176470588,20
36,30회 이상,3,3,13146300,0,보통,3,10,6,9,2,0.0,0.3,0.6,0.9,1314630.0,4382100.0,7,-6,0.9,9,39438900,0.2777777777777778,0.08333333333333333,365175.0,26
36,1~29회,3,1,3827250,5,좋다,1,7,2,1,1,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.14285714285714285,546750.0,1275750.0,6,0,0.7142857142857143,1,3827250,0.19444444444444445,0.027777777777777776,106312.5,29
43,30회 이상,3,4,22894650,1,보통,4,25,3,25,2,0.04,0.12,0.12,1.0,915786.0,7631550.0,21,-21,0.24,16,91578600,0.5813953488372093,0.09302325581395349,532433.7209302326,18
30,30회 이상,1,1,3527550,1,좋다,3,10,2,10,2,0.1,0.1,0.2,1.0,352755.0,3527550.0,9,-9,0.3,3,10582650,0.3333333333333333,0.03333333333333333,117585.0,20
33,0회,3,2,8297100,0,보통,1,8,2,7,0,0.0,0.375,0.25,0.875,1037137.5,2765700.0,6,-5,0.625,2,8297100,0.24242424242424243,0.06060606060606061,251427.27272727274,25
56,1~29회,3,1,6700050,9,보통,1,7,2,5,1,1.2857142857142858,0.42857142857142855,0.2857142857142857,0.7142857142857143,957150.0,2233350.0,6,-4,0.7142857142857143,1,6700050,0.125,0.017857142857142856,119643.75,49
51,1~29회,3,5,26374950,7,보통,3,23,5,20,1,0.30434782608695654,0.13043478260869565,0.21739130434782608,0.8695652173913043,1146736.956521739,8791650.0,18,-15,0.34782608695652173,15,79124850,0.45098039215686275,0.09803921568627451,517155.8823529412,28
