나이,회사와의마찰,출장,일당,부서,거리,학력,전공,사번,만족도,성별,시급,참여프로젝트,근속연차,직급,직업만족도,결혼여부,월급,이직회수,성인여부,야근,업무평가,주변평가,근무기준시간,스톡옵션레벨,경력,전년도교육출장횟수,워라밸,현회사근속년수
59,No,30회 이상,1225,영업,1,1,사회과학계열,91,1,Female,57,2,2,영업직,3,Single,5473,7,Y,No,보통,4,80,0,20,2,2,4
29,No,1~29회,1328,R&D,2,3,사회과학계열,94,3,Male,76,3,1,연구직,2,Married,2703,0,Y,No,좋다,4,80,1,6,3,3,5
31,No,1~29회,1082,R&D,1,4,자연과학계열,95,3,Male,87,3,1,연구직,2,Single,2501,1,Y,No,보통,2,80,0,1,4,3,1
32,No,1~29회,548,R&D,1,3,사회과학계열,96,2,Male,66,3,2,연구직,2,Married,6220,1,Y,No,보통,2,80,2,10,3,3,10
36,No,1~29회,132,R&D,6,3,사회과학계열,97,2,Female,55,4,1,엔지니어,4,Married,3038,3,Y,No,보통,2,80,0,5,3,3,1
31,No,1~29회,746,R&D,8,4,사회과학계열,98,3,Female,61,3,2,제조 책임자,4,Single,4424,1,Y,No,좋다,4,80,0,11,2,3,11
35,No,1~29회,776,영업,1,4,상경계열,100,3,Male,32,2,2,영업직,1,Single,4312,0,Y,No,보통,2,80,0,16,2,3,15
45,No,1~29회,193,R&D,6,4,기타,101,4,Male,52,3,3,연구 관리자,1,Married,13245,4,Y,Yes,보통,2,80,0,17,3,4,0
37,No,1~29회,397,R&D,7,4,자연과학계열,102,1,Male,30,3,3,연구 관리자,3,Single,13664,4,Y,No,보통,1,80,0,16,3,4,5
46,No,1~29회,945,사무직,5,2,자연과학계열,103,2,Male,80,3,2,인사사원,2,Divorced,5021,8,Y,Yes,좋다,4,80,1,16,2,3,4
30,No,1~29회,852,R&D,1,1,사회과학계열,104,4,Male,55,2,2,엔지니어,4,Married,5126,1,Y,Yes,보통,3,80,2,10,1,2,10
35,No,1~29회,1214,R&D,1,3,자연과학계열,105,2,Male,30,2,1,연구직,3,Single,2859,1,Y,No,보통,1,80,0,6,3,3,6
55,No,1~29회,111,영업,1,2,사회과학계열,106,1,Male,70,3,3,영업직,4,Married,10239,3,Y,No,보통,4,80,1,24,4,3,1
38,No,0회,573,R&D,6,3,자연과학계열,107,2,Female,79,1,2,연구직,4,Divorced,5329,7,Y,Yes,보통,4,80,3,17,3,3,13
34,No,1~29회,1153,R&D,1,2,자연과학계열,110,1,Male,94,3,2,제조 책임자,2,Married,4325,1,Y,No,보통,3,80,0,5,2,3,5
56,No,1~29회,1400,R&D,7,3,사회과학계열,112,4,Male,49,1,3,제조 책임자,4,Single,7260,4,Y,No,보통,1,80,0,37,3,2,6
23,No,1~29회,541,영업,2,1,공학계열,113,3,Male,62,3,1,영업 담당자,1,Divorced,2322,3,Y,No,보통,3,80,1,3,3,3,0
51,No,1~29회,432,R&D,9,4,사회과학계열,116,4,Male,96,3,1,엔지니어,4,Married,2075,3,Y,No,좋다,2,80,2,10,4,3,4
30,No,1~29회,288,R&D,2,3,사회과학계열,117,3,Male,99,2,2,연구직 관리자,4,Married,4152,1,Y,No,보통,1,80,3,11,3,3,11
46,Yes,1~29회,669,영업,9,2,자연과학계열,118,3,Male,64,2,3,영업직,4,Single,9619,1,Y,No,보통,4,80,0,9,3,3,9
40,No,30회 이상,530,R&D,1,4,사회과학계열,119,3,Male,78,2,4,연구직 관리자,2,Married,13503,1,Y,No,좋다,4,80,1,22,3,2,22
51,No,1~29회,632,영업,21,4,상경계열,120,3,Male,71,3,2,영업직,4,Single,5441,0,Y,Yes,좋다,4,80,0,11,2,1,10
30,No,1~29회,1334,영업,4,2,자연과학계열,121,3,Female,63,2,2,영업직,2,Divorced,5209,1,Y,Yes,보통,2,80,3,11,4,2,11
46,No,30회 이상,638,R&D,1,3,자연과학계열,124,3,Male,40,2,3,연구직 관리자,1,Married,10673,2,Y,Yes,보통,3,80,1,21,5,2,10
32,No,1~29회,1093,영업,6,4,자연과학계열,125,2,Male,87,3,2,영업직,3,Single,5010,1,Y,No,보통,1,80,0,12,0,3,11
54,No,1~29회,1217,R&D,2,4,공학계열,126,1,Female,60,3,3,연구 관리자,3,Married,13549,9,Y,No,보통,1,80,1,16,5,1,4
24,No,1~29회,1353,영업,3,2,기타,128,1,Female,33,3,2,영업직,3,Married,4999,0,Y,No,좋다,1,80,1,4,2,2,3
28,No,0회,120,영업,4,3,자연과학계열,129,2,Male,43,3,2,영업직,3,Married,4221,1,Y,No,보통,2,80,0,5,3,4,5
58,No,1~29회,682,영업,10,4,자연과학계열,131,4,Male,37,3,4,영업직,3,Single,13872,0,Y,No,보통,3,80,0,38,1,2,37
44,No,0회,489,R&D,23,3,자연과학계열,132,2,Male,67,3,2,엔지니어,2,Married,2042,4,Y,No,보통,3,80,1,17,3,4,3
37,Yes,1~29회,807,사무직,6,4,인문학,133,3,Male,63,3,1,인사사원,1,Divorced,2073,4,Y,Yes,좋다,4,80,0,7,3,3,3
32,No,1~29회,827,R&D,1,1,사회과학계열,134,4,Male,71,3,1,연구직,1,Single,2956,1,Y,No,보통,4,80,0,1,2,3,1
20,Yes,30회 이상,871,R&D,6,3,사회과학계열,137,4,Female,66,2,1,엔지니어,4,Single,2926,1,Y,Yes,보통,2,80,0,1,5,3,1
34,No,1~29회,665,R&D,6,4,기타,138,1,Female,41,3,2,연구직,3,Single,4809,1,Y,No,보통,3,80,0,16,3,3,16
37,No,0회,1040,R&D,2,2,사회과학계열,139,3,Male,100,2,2,연구직 관리자,4,Divorced,5163,5,Y,No,보통,4,80,1,17,2,4,1
59,No,0회,1420,사무직,2,4,인문학,140,3,Female,32,2,5,인사관리자,4,Married,18844,9,Y,No,좋다,4,80,1,30,3,3,3
50,No,30회 이상,1115,R&D,1,3,사회과학계열,141,1,Female,73,3,5,연구 관리자,2,Married,18172,3,Y,Yes,보통,1,80,0,28,1,2,8
25,Yes,1~29회,240,영업,5,3,상경계열,142,3,Male,46,2,2,영업직,3,Single,5744,1,Y,Yes,보통,4,80,0,6,1,3,6
25,No,1~29회,1280,R&D,7,1,자연과학계열,143,4,Male,64,2,1,연구직,4,Married,2889,1,Y,No,보통,3,80,2,2,2,3,2
22,No,1~29회,534,R&D,15,3,자연과학계열,144,2,Female,59,3,1,엔지니어,4,Single,2871,1,Y,No,보통,3,80,0,1,5,3,0
51,No,30회 이상,1456,R&D,1,4,자연과학계열,145,1,Female,30,2,3,연구직 관리자,1,Single,7484,3,Y,No,좋다,3,80,0,23,1,2,13
34,Yes,30회 이상,658,R&D,7,3,사회과학계열,147,1,Male,66,1,2,엔지니어,3,Single,6074,1,Y,Yes,좋다,4,80,0,9,3,3,9
54,No,0회,142,사무직,26,3,인문학,148,4,Female,30,4,4,인사관리자,4,Single,17328,2,Y,Yes,보통,3,80,0,23,3,3,5
24,No,1~29회,1127,R&D,18,1,사회과학계열,150,2,Male,52,3,1,엔지니어,3,Married,2774,0,Y,No,보통,3,80,1,6,2,3,5
34,No,1~29회,1031,R&D,6,4,사회과학계열,151,3,Female,45,2,2,연구직,2,Divorced,4505,6,Y,No,보통,3,80,1,12,3,3,1
37,No,1~29회,1189,영업,3,3,사회과학계열,152,3,Male,87,3,3,영업직,4,Single,7428,2,Y,No,보통,1,80,0,12,3,3,5
34,No,1~29회,1354,R&D,5,3,자연과학계열,153,3,Female,45,2,3,인사관리자,1,Single,11631,2,Y,No,보통,4,80,0,14,6,3,11
36,No,30회 이상,1467,영업,11,2,공학계열,154,2,Female,92,3,3,영업직,4,Married,9738,0,Y,No,보통,3,80,1,10,6,3,9
36,No,1~29회,922,R&D,3,2,사회과학계열,155,1,Female,39,3,1,엔지니어,4,Divorced,2835,5,Y,No,좋다,1,80,1,7,2,3,1
43,No,30회 이상,394,영업,26,2,사회과학계열,158,3,Male,92,3,4,인사관리자,4,Married,16959,1,Y,Yes,보통,4,80,2,25,3,4,25
30,No,30회 이상,1312,R&D,23,3,사회과학계열,159,1,Male,96,1,1,연구직,3,Divorced,2613,1,Y,No,좋다,3,80,3,10,2,2,10
33,No,0회,750,영업,22,2,상경계열,160,3,Male,95,3,2,영업직,2,Married,6146,0,Y,No,보통,1,80,1,8,2,4,7
56,Yes,1~29회,441,R&D,14,4,사회과학계열,161,2,Female,72,3,1,연구직,2,Married,4963,9,Y,Yes,보통,1,80,3,7,2,3,5
51,No,1~29회,684,R&D,6,3,사회과학계열,162,1,Male,51,3,5,연구 관리자,3,Single,19537,7,Y,No,보통,3,80,0,23,5,3,20
31,Yes,1~29회,249,영업,6,4,사회과학계열,163,2,Male,76,1,2,영업직,3,Married,6172,4,Y,Yes,보통,2,80,0,12,3,2,7
26,No,1~29회,841,R&D,6,3,기타,164,3,Female,46,2,1,연구직,2,Married,2368,1,Y,No,보통,3,80,0,5,3,2,5
58,Yes,1~29회,147,R&D,23,4,자연과학계열,165,4,Female,94,3,3,연구직 관리자,4,Married,10312,1,Y,No,보통,4,80,1,40,3,2,40
19,Yes,1~29회,528,영업,22,1,상경계열,167,4,Male,50,3,1,영업 담당자,3,Single,1675,1,Y,Yes,보통,4,80,0,0,2,2,0
22,No,1~29회,594,R&D,2,1,공학계열,169,3,Male,100,3,1,엔지니어,4,Married,2523,0,Y,No,보통,3,80,1,3,2,3,2
49,No,1~29회,470,R&D,20,4,자연과학계열,170,3,Female,96,3,2,제조 책임자,1,Married,6567,1,Y,No,보통,3,80,0,16,2,2,15
43,No,30회 이상,957,R&D,28,3,자연과학계열,171,2,Female,72,4,1,연구직,3,Single,4739,4,Y,No,보통,4,80,0,18,2,3,3
50,No,30회 이상,809,영업,12,3,상경계열,174,3,Female,77,3,3,영업직,4,Single,9208,4,Y,No,보통,4,80,0,16,3,3,2
31,Yes,1~29회,542,영업,20,3,사회과학계열,175,2,Female,71,1,2,영업직,3,Married,4559,3,Y,Yes,보통,3,80,1,4,2,3,2
41,No,1~29회,802,영업,9,1,사회과학계열,176,3,Male,96,3,3,영업직,3,Divorced,8189,3,Y,Yes,보통,3,80,1,12,2,3,9
26,No,1~29회,1355,사무직,25,1,사회과학계열,177,3,Female,61,3,1,인사사원,3,Married,2942,1,Y,No,좋다,4,80,1,8,3,3,8
36,No,1~29회,216,R&D,6,2,자연과학계열,178,2,Male,84,3,2,제조 책임자,2,Divorced,4941,6,Y,No,좋다,4,80,2,7,0,3,3
51,Yes,30회 이상,1150,R&D,8,4,사회과학계열,179,1,Male,53,1,3,제조 책임자,4,Single,10650,2,Y,No,보통,4,80,0,18,2,3,4
39,No,1~29회,1329,영업,4,4,사회과학계열,182,4,Female,47,2,2,영업직,3,Married,5902,4,Y,No,보통,3,80,1,17,1,4,15
25,No,1~29회,959,영업,28,3,사회과학계열,183,1,Male,41,2,2,영업직,3,Married,8639,2,Y,No,보통,4,80,0,6,3,3,2
30,No,1~29회,1240,사무직,9,3,인문학,184,3,Male,48,3,2,인사사원,4,Married,6347,0,Y,Yes,보통,4,80,0,12,2,1,11
32,Yes,1~29회,1033,R&D,9,3,자연과학계열,190,1,Female,41,3,1,엔지니어,1,Single,4200,7,Y,No,좋다,1,80,0,10,2,4,5
45,No,1~29회,1316,R&D,29,3,자연과학계열,192,3,Male,83,3,1,연구직,4,Single,3452,5,Y,No,보통,2,80,0,9,2,2,6
38,No,1~29회,364,R&D,3,5,공학계열,193,4,Female,32,3,2,연구직,3,Single,4317,3,Y,Yes,좋다,2,80,0,19,2,3,3
30,No,1~29회,438,R&D,18,3,사회과학계열,194,1,Female,75,3,1,연구직,3,Single,2632,1,Y,No,보통,3,80,0,5,4,2,5
32,No,30회 이상,689,영업,9,2,자연과학계열,195,4,Male,35,1,2,영업직,4,Divorced,4668,0,Y,No,보통,4,80,3,9,2,4,8
30,No,1~29회,201,R&D,5,3,공학계열,197,4,Female,84,3,1,연구직,1,Divorced,3204,5,Y,No,보통,4,80,1,8,3,3,3
30,No,1~29회,1427,R&D,2,1,자연과학계열,198,2,Male,35,2,1,엔지니어,4,Single,2720,0,Y,No,보통,4,80,0,6,3,3,5
41,No,30회 이상,857,R&D,10,3,사회과학계열,199,4,Male,91,2,4,인사관리자,1,Divorced,17181,4,Y,No,보통,2,80,1,21,2,2,7
41,No,1~29회,933,R&D,9,4,사회과학계열,200,3,Male,94,3,1,엔지니어,1,Married,2238,2,Y,No,좋다,4,80,1,7,2,3,5
19,No,1~29회,1181,R&D,3,1,자연과학계열,201,2,Female,79,3,1,엔지니어,2,Single,1483,1,Y,No,보통,4,80,0,1,3,3,1
40,No,30회 이상,1395,R&D,26,3,자연과학계열,202,2,Female,54,3,2,연구직,2,Divorced,5605,1,Y,No,보통,1,80,1,20,2,3,20
35,No,1~29회,662,영업,1,5,상경계열,204,3,Male,94,3,3,영업직,2,Married,7295,1,Y,No,보통,1,80,2,10,3,3,10
53,No,1~29회,1436,영업,6,2,상경계열,205,2,Male,34,3,2,영업 담당자,3,Married,2306,2,Y,Yes,좋다,4,80,1,13,3,1,7
45,No,1~29회,194,R&D,9,3,사회과학계열,206,2,Male,60,3,2,엔지니어,2,Divorced,2348,8,Y,No,보통,3,80,1,20,2,1,17
32,No,30회 이상,967,영업,8,3,상경계열,207,2,Female,43,3,3,영업직,4,Single,8998,1,Y,No,보통,4,80,0,9,2,3,9
29,No,0회,1496,R&D,1,1,공학계열,208,4,Male,41,3,2,제조 책임자,3,Married,4319,1,Y,No,보통,1,80,1,10,1,3,10
51,No,1~29회,1169,R&D,7,4,자연과학계열,211,2,Male,34,2,2,제조 책임자,3,Married,6132,2,Y,No,보통,3,80,0,10,2,3,1
58,No,1~29회,1145,R&D,9,3,자연과학계열,214,2,Female,75,2,1,연구직,2,Married,3346,4,Y,Yes,좋다,2,80,1,9,3,2,1
40,No,1~29회,630,영업,4,4,상경계열,215,3,Male,67,2,3,영업직,4,Married,10855,7,Y,No,보통,1,80,1,15,2,2,12
34,No,30회 이상,303,영업,2,4,상경계열,216,3,Female,75,3,1,영업 담당자,3,Married,2231,6,Y,No,보통,4,80,1,6,3,3,4
22,No,1~29회,1256,R&D,19,1,자연과학계열,217,3,Male,80,3,1,연구직,4,Married,2323,1,Y,No,좋다,1,80,2,2,6,3,2
27,No,0회,691,R&D,9,3,자연과학계열,218,4,Male,57,3,1,연구직,2,Divorced,2024,6,Y,No,보통,4,80,1,6,1,1,2
28,No,1~29회,440,R&D,21,3,자연과학계열,221,3,Male,42,3,1,연구직,4,Married,2713,1,Y,No,보통,3,80,1,5,2,1,5
57,No,1~29회,334,R&D,24,2,사회과학계열,223,3,Male,83,4,3,연구직 관리자,4,Divorced,9439,3,Y,Yes,보통,2,80,1,12,2,1,5
27,No,0회,1450,R&D,3,3,자연과학계열,224,3,Male,79,2,1,연구직,3,Divorced,2566,1,Y,Yes,보통,4,80,1,1,2,2,1
50,No,1~29회,1452,R&D,11,3,사회과학계열,226,3,Female,53,3,5,인사관리자,2,Single,19926,3,Y,No,보통,2,80,0,21,5,3,5
41,No,1~29회,465,R&D,14,3,사회과학계열,227,1,Male,56,3,1,연구직,3,Divorced,2451,4,Y,No,보통,1,80,1,13,2,3,9
30,No,1~29회,1339,영업,5,3,사회과학계열,228,2,Female,41,3,3,영업직,4,Married,9419,2,Y,No,보통,3,80,1,12,2,3,10
38,No,1~29회,702,영업,1,4,사회과학계열,230,1,Female,59,2,2,영업직,4,Single,8686,4,Y,No,좋다,3,80,0,12,2,4,8
32,No,1~29회,120,R&D,6,5,사회과학계열,231,3,Male,43,3,1,연구직,3,Single,3038,3,Y,No,좋다,1,80,0,8,2,3,5
27,No,1~29회,1157,R&D,17,3,공학계열,233,3,Male,51,3,1,연구직,2,Married,3058,0,Y,Yes,보통,4,80,1,6,3,2,5
19,Yes,30회 이상,602,영업,1,1,공학계열,235,3,Female,100,1,1,영업 담당자,1,Single,2325,0,Y,No,좋다,1,80,0,1,5,4,0
36,No,30회 이상,1480,R&D,3,2,자연과학계열,238,4,Male,30,3,1,엔지니어,2,Single,2088,4,Y,No,보통,3,80,0,13,3,2,8
30,No,0회,111,R&D,9,3,자연과학계열,239,3,Male,66,3,2,엔지니어,1,Divorced,3072,1,Y,No,보통,3,80,2,12,4,3,12
45,No,1~29회,1268,영업,4,2,사회과학계열,240,3,Female,30,3,2,영업직,1,Divorced,5006,4,Y,Yes,보통,1,80,1,9,3,4,5
56,No,1~29회,713,R&D,8,3,사회과학계열,241,3,Female,67,3,1,연구직,1,Divorced,4257,4,Y,Yes,보통,3,80,1,19,3,3,2
33,No,1~29회,134,R&D,2,3,사회과학계열,242,3,Male,90,3,1,연구직,4,Single,2500,0,Y,No,보통,1,80,0,4,2,4,3
